,GM,DAY,DATE,Away,HOME,Network,Average Viewers (000),Away P2+ IMP,Home P2+ IMP,DMA_TV_Households_Millions_x,DMA_TV_Households_Millions_y,Total Viewership
718,718,Sun,2017-1-29,GSW,POR,NBA TV,583.0,354.0,111.0,2.49,1.14,1048.0
719,719,Mon,2017-1-30,BRK,MIA,Regional,0.0,49.0,92.0,7.35,1.7,141.0
720,720,Mon,2017-1-30,ORL,MIN,Regional,0.0,17.0,58.0,1.52,1.74,75.0
721,721,Mon,2017-1-30,DET,BOS,TNT,1111.0,0.0,0.0,1.85,2.42,1111.0
722,722,Mon,2017-1-30,CLE,DAL,Regional,0.0,198.0,51.0,1.5,2.71,249.0
723,266,Wed,2017-1-30,SAC,PHI,Regional,0.0,30.0,107.0,1.38,2.94,137.0
724,723,Mon,2017-1-30,MEM,PHX,TNT,861.0,0.0,0.0,0.63,1.89,861.0
725,724,Tue,2017-1-31,NYK,WAS,Regional,0.0,118.0,59.0,7.35,2.48,177.0
726,725,Tue,2017-1-31,NOP,TOR,Regional,0.0,9.0,0.0,0.64,2.86,9.0
727,726,Tue,2017-1-31,SAC,HOU,Regional,0.0,28.0,60.0,1.38,2.45,88.0
728,727,Tue,2017-1-31,OKC,SAS,NBA TV,494.0,60.0,62.0,0.72,0.94,616.0
729,728,Tue,2017-1-31,CHA,POR,Regional,0.0,10.0,50.0,1.19,1.14,60.0
730,729,Tue,2017-1-31,DEN,LAL,Regional,0.0,14.0,160.0,1.63,5.48,174.0
731,730,Wed,2017-2-1,IND,ORL,Regional,0.0,30.0,15.0,1.09,1.52,45.0
732,731,Wed,2017-2-1,MIN,CLE,ESPN,1474.0,24.0,139.0,1.74,1.5,1637.0
733,732,Wed,2017-2-1,TOR,BOS,Regional,0.0,0.0,85.0,2.86,2.42,85.0
734,733,Wed,2017-2-1,NYK,BRK,Regional,0.0,163.0,37.0,7.35,7.35,200.0
735,734,Wed,2017-2-1,ATL,MIA,Regional,0.0,26.0,102.0,2.41,1.7,128.0
736,735,Wed,2017-2-1,NOP,DET,Regional,0.0,6.0,30.0,0.64,1.85,36.0
737,736,Wed,2017-2-1,PHI,DAL,Regional,0.0,107.0,64.0,2.94,2.71,171.0
738,737,Wed,2017-2-1,MEM,DEN,Regional,0.0,13.0,14.0,0.63,1.63,27.0
739,738,Wed,2017-2-1,MIL,UTA,Regional,0.0,19.0,37.5,0.9,0.92,56.5
740,739,Wed,2017-2-1,LAC,PHX,Regional,0.0,71.0,45.0,5.48,1.89,116.0
741,740,Wed,2017-2-1,CHI,OKC,ESPN,1458.0,0.0,0.0,3.46,0.72,1458.0
742,741,Wed,2017-2-1,CHA,GSW,Regional,0.0,11.7,421.0,1.19,2.49,432.7
743,742,Thu,2017-2-2,LAL,WAS,Regional,0.0,63.0,59.0,5.48,2.48,122.0
744,743,Thu,2017-2-2,ATL,HOU,TNT,1475.0,0.0,0.0,2.41,2.45,1475.0
745,744,Thu,2017-2-2,PHI,SAS,Regional,0.0,45.0,55.0,2.94,0.94,100.0
746,745,Thu,2017-2-2,GSW,LAC,TNT,2357.0,0.0,0.0,2.49,5.48,2357.0
747,746,Fri,2017-2-3,TOR,ORL,Regional,0.0,0.0,23.0,2.86,1.52,23.0
748,747,Fri,2017-2-3,IND,BRK,Regional,0.0,44.0,30.0,1.09,7.35,74.0
749,748,Fri,2017-2-3,MIN,DET,Regional,0.0,50.0,37.0,1.74,1.85,87.0
750,749,Fri,2017-2-3,CHI,HOU,Regional,0.0,114.0,83.0,3.46,2.45,197.0
751,750,Fri,2017-2-3,MEM,OKC,Regional,0.0,10.0,35.09090909,0.63,0.72,45.09090909
752,751,Fri,2017-2-3,LAL,BOS,ESPN,1521.0,36.0,106.0,5.48,2.42,1663.0
753,752,Fri,2017-2-3,MIL,DEN,Regional,0.0,17.0,17.0,0.9,1.63,34.0
754,753,Fri,2017-2-3,PHX,SAC,Regional,0.0,33.0,41.0,1.89,1.38,74.0
755,754,Fri,2017-2-3,DAL,POR,ESPN,1179.0,22.0,63.0,2.71,1.14,1264.0
756,755,Sat,2017-2-4,NOP,WAS,Regional,0.0,5.666666667,44.0,0.64,2.48,49.666666667
757,756,Sat,2017-2-4,ORL,ATL,Regional,0.0,9.0,21.0,1.52,2.41,30.0
758,757,Sat,2017-2-4,DET,IND,Regional,0.0,29.0,40.0,1.85,1.09,69.0
759,758,Sat,2017-2-4,PHI,MIA,Regional,0.0,50.0,61.0,2.94,1.7,111.0
760,759,Sat,2017-2-4,CLE,NYK,ABC,2821.0,0.0,0.0,1.5,7.35,2821.0
761,760,Sat,2017-2-4,CHA,UTA,Regional,0.0,7.0,35.8,1.19,0.92,42.8
762,761,Sat,2017-2-4,MIL,PHX,Regional,0.0,18.0,19.0,0.9,1.89,37.0
763,762,Sat,2017-2-4,DEN,SAS,Regional,0.0,14.0,64.0,1.63,0.94,78.0
764,763,Sat,2017-2-4,MEM,MIN,Regional,0.0,5.454545455,33.0,0.63,1.74,38.454545455
765,764,Sat,2017-2-4,GSW,SAC,Regional,0.0,406.0,88.0,2.49,1.38,494.0
766,766,Sun,2017-2-5,LAC,BOS,ABC,2079.0,0.0,0.0,5.48,2.42,2079.0
767,767,Sun,2017-2-5,POR,OKC,Regional,0.0,27.0,45.8,1.14,0.72,72.8
768,765,Sun,2017-2-5,TOR,BRK,Regional,0.0,0.0,25.0,2.86,7.35,25.0
769,768,Mon,2017-2-6,LAL,NYK,Regional,0.0,0.0,112.0,5.48,7.35,112.0
770,769,Mon,2017-2-6,CLE,WAS,TNT,1730.0,207.0,0.0,1.5,2.48,1937.0
771,770,Mon,2017-2-6,OKC,IND,Regional,0.0,51.6,41.0,0.72,1.09,92.6
772,771,Mon,2017-2-6,LAC,TOR,Regional,0.0,22.0,0.0,5.48,2.86,22.0
773,772,Mon,2017-2-6,UTA,ATL,Regional,0.0,35.9,29.0,0.92,2.41,64.9
774,773,Mon,2017-2-6,PHI,DET,Regional,0.0,49.0,43.0,2.94,1.85,92.0
775,774,Mon,2017-2-6,PHX,NOP,Regional,0.0,32.0,13.0,1.89,0.64,45.0
776,775,Mon,2017-2-6,MIA,MIN,Regional,0.0,90.0,23.0,1.7,1.74,113.0
777,776,Mon,2017-2-6,DAL,DEN,Regional,0.0,21.0,19.0,2.71,1.63,40.0
778,777,Mon,2017-2-6,SAS,MEM,TNT,1308.0,30.0,0.0,0.94,0.63,1338.0
779,778,Mon,2017-2-6,CHI,SAC,Regional,0.0,127.0,49.0,3.46,1.38,176.0
780,779,Tue,2017-2-7,BRK,CHA,Regional,0.0,13.0,14.0,7.35,1.19,27.0
781,780,Tue,2017-2-7,ORL,HOU,NBA TV,266.0,13.0,83.0,1.52,2.45,362.0
782,781,Tue,2017-2-7,POR,DAL,Regional,0.0,37.0,35.0,1.14,2.71,72.0
783,782,Wed,2017-2-8,SAS,PHI,Regional,0.0,55.0,48.0,0.94,2.94,103.0
784,783,Wed,2017-2-8,CLE,IND,Regional,0.0,169.0,46.0,1.5,1.09,215.0
785,784,Wed,2017-2-8,WAS,BRK,Regional,0.0,59.0,6.0,2.48,7.35,65.0
786,785,Wed,2017-2-8,DEN,ATL,Regional,0.0,13.0,22.0,1.63,2.41,35.0
787,786,Wed,2017-2-8,LAL,DET,Regional,0.0,73.0,31.0,5.48,1.85,104.0
788,787,Wed,2017-2-8,MIA,MIL,Regional,0.0,96.0,23.0,1.7,0.9,119.0
789,788,Wed,2017-2-8,PHX,MEM,Regional,0.0,30.0,14.54545455,1.89,0.63,44.54545455
790,789,Wed,2017-2-8,UTA,NOP,Regional,0.0,33.2,10.5,0.92,0.64,43.7
791,790,Wed,2017-2-8,TOR,MIN,Regional,0.0,0.0,35.0,2.86,1.74,35.0
792,791,Wed,2017-2-8,LAC,NYK,ESPN,1541.0,56.0,185.0,5.48,7.35,1782.0
793,792,Wed,2017-2-8,CHI,GSW,ESPN,1958.0,17.0,370.0,3.46,2.49,2345.0
794,793,Wed,2017-2-8,BOS,SAC,Regional,0.0,61.0,39.0,2.42,1.38,100.0
795,794,Thu,2017-2-9,HOU,CHA,Regional,0.0,55.0,10.0,2.45,1.19,65.0
796,795,Thu,2017-2-9,PHI,ORL,Regional,0.0,62.0,20.0,2.94,1.52,82.0
797,796,Thu,2017-2-9,CLE,OKC,TNT,2106.0,0.0,0.0,1.5,0.72,2106.0
798,797,Thu,2017-2-9,UTA,DAL,Regional,0.0,48.5,39.0,0.92,2.71,87.5
799,798,Thu,2017-2-9,BOS,POR,TNT,1314.0,17.0,0.0,2.42,1.14,1331.0
800,799,Fri,2017-2-10,MIA,BRK,Regional,0.0,93.0,33.0,1.7,7.35,126.0
801,800,Fri,2017-2-10,DEN,NYK,Regional,0.0,14.0,219.0,1.63,7.35,233.0
802,801,Fri,2017-2-10,SAS,DET,Regional,0.0,65.0,21.0,0.94,1.85,86.0
803,802,Fri,2017-2-10,LAL,MIL,Regional,0.0,121.0,14.0,5.48,0.9,135.0
804,803,Fri,2017-2-10,GSW,MEM,Regional,0.0,274.0,16.7,2.49,0.63,290.7
805,804,Fri,2017-2-10,NOP,MIN,Regional,0.0,9.6,35.0,0.64,1.74,44.6
806,805,Fri,2017-2-10,IND,WAS,ESPN,1156.0,31.0,23.0,1.09,2.48,1210.0
807,806,Fri,2017-2-10,ATL,SAC,Regional,0.0,21.0,48.0,2.41,1.38,69.0
808,807,Fri,2017-2-10,CHI,PHX,ESPN,1163.0,98.0,23.0,3.46,1.89,1284.0
809,808,Sat,2017-2-11,LAC,CHA,Regional,0.0,58.0,6.0,5.48,1.19,64.0
810,809,Sat,2017-2-11,MIL,IND,Regional,0.0,16.0,36.0,0.9,1.09,52.0
811,810,Sat,2017-2-11,MIA,PHI,Regional,0.0,70.0,89.0,1.7,2.94,159.0
812,811,Sat,2017-2-11,DEN,CLE,Regional,0.0,18.0,194.0,1.63,1.5,212.0
813,813,Sat,2017-2-11,GSW,OKC,ABC,6036.0,0.0,0.0,2.49,0.72,6036.0
814,812,Sat,2017-2-11,PHX,HOU,Regional,0.0,25.0,39.0,1.89,2.45,64.0
815,814,Sat,2017-2-11,ORL,DAL,Regional,0.0,5.0,25.0,1.52,2.71,30.0
816,815,Sat,2017-2-11,BOS,UTA,Regional,0.0,59.0,44.6,2.42,0.92,103.6
817,816,Sun,2017-2-12,CHI,MIN,Regional,0.0,44.0,31.0,3.46,1.74,75.0
818,817,Sun,2017-2-12,SAS,NYK,ABC,2867.0,0.0,0.0,0.94,7.35,2867.0
819,818,Sun,2017-2-12,DET,TOR,NBA TV,313.0,49.0,0.0,1.85,2.86,362.0
820,819,Sun,2017-2-12,NOP,SAC,NBA TV,257.0,7.6,51.0,0.64,1.38,315.6
821,820,Mon,2017-2-13,OKC,WAS,TNT,1095.0,28.0,0.0,0.72,2.48,1123.0
822,821,Mon,2017-2-13,PHI,CHA,Regional,0.0,76.0,8.0,2.94,1.19,84.0
823,822,Mon,2017-2-13,MEM,BRK,Regional,0.0,12.9,18.0,0.63,7.35,30.9
824,823,Mon,2017-2-13,ORL,MIA,Regional,0.0,25.0,76.0,1.52,1.7,101.0
825,824,Mon,2017-2-13,DET,MIL,Regional,0.0,28.0,22.0,1.85,0.9,50.0
826,825,Mon,2017-2-13,SAS,IND,Regional,0.0,44.0,49.0,0.94,1.09,93.0
827,826,Mon,2017-2-13,BOS,DAL,Regional,0.0,80.0,40.0,2.42,2.71,120.0
828,827,Mon,2017-2-13,GSW,DEN,Regional,0.0,311.0,35.0,2.49,1.63,346.0
829,828,Mon,2017-2-13,LAC,UTA,Regional,0.0,49.0,42.0,5.48,0.92,91.0
830,829,Mon,2017-2-13,NOP,PHX,Regional,0.0,8.0,35.0,0.64,1.89,43.0
831,830,Mon,2017-2-13,ATL,POR,TNT,876.0,0.0,0.0,2.41,1.14,876.0
832,831,Tue,2017-2-14,TOR,CHI,Regional,0.0,0.0,77.0,2.86,3.46,77.0
833,832,Tue,2017-2-14,CLE,MIN,NBA TV,508.0,215.0,31.0,1.5,1.74,754.0
834,833,Tue,2017-2-14,SAC,LAL,NBA TV,326.0,87.0,180.0,1.38,5.48,593.0
835,834,Wed,2017-2-15,SAS,ORL,Regional,0.0,57.0,18.0,0.94,1.52,75.0
836,835,Wed,2017-2-15,IND,CLE,ESPN,1383.0,22.0,161.0,1.09,1.5,1566.0
837,836,Wed,2017-2-15,PHI,BOS,Regional,0.0,99.0,113.0,2.94,2.42,212.0
838,837,Wed,2017-2-15,CHA,TOR,Regional,0.0,9.8,0.0,1.19,2.86,9.8
839,838,Wed,2017-2-15,MIL,BRK,Regional,0.0,22.0,7.0,0.9,7.35,29.0
840,839,Wed,2017-2-15,DAL,DET,Regional,0.0,22.0,32.0,2.71,1.85,54.0
841,840,Wed,2017-2-15,NOP,MEM,Regional,0.0,5.4,14.7,0.64,0.63,20.1
842,841,Wed,2017-2-15,MIA,HOU,Regional,0.0,71.0,74.0,1.7,2.45,145.0
843,842,Wed,2017-2-15,MIN,DEN,Regional,0.0,22.0,20.0,1.74,1.63,42.0
844,843,Wed,2017-2-15,POR,UTA,Regional,0.0,94.0,47.1,1.14,0.92,141.1
845,844,Wed,2017-2-15,LAL,PHX,Regional,0.0,73.0,42.0,5.48,1.89,115.0
846,845,Wed,2017-2-15,NYK,OKC,ESPN,1555.0,115.0,31.7,7.35,0.72,1701.7
847,846,Wed,2017-2-15,ATL,LAC,Regional,0.0,11.0,43.0,2.41,5.48,54.0
848,847,Wed,2017-2-15,SAC,GSW,Regional,0.0,91.0,389.0,1.38,2.49,480.0
849,848,Thu,2017-2-16,WAS,IND,Regional,0.0,44.0,33.0,2.48,1.09,77.0
850,849,Thu,2017-2-16,BOS,CHI,TNT,1449.0,0.0,0.0,2.42,3.46,1449.0
851,850,Thu,2017-2-23,POR,ORL,Regional,0.0,27.0,11.0,1.14,1.52,38.0
852,851,Thu,2017-2-23,CHA,DET,Regional,0.0,14.0,27.0,1.19,1.85,41.0
853,852,Thu,2017-2-23,HOU,NOP,Regional,0.0,110.0,15.8,2.45,0.64,125.8
854,853,Thu,2017-2-23,NYK,CLE,TNT,2052.0,0.0,0.0,7.35,1.5,2052.0
855,854,Thu,2017-2-23,LAC,GSW,TNT,2597.0,0.0,0.0,5.48,2.49,2597.0
856,855,Thu,2017-2-23,DEN,SAC,Regional,0.0,17.0,67.0,1.63,1.38,84.0
857,856,Fri,2017-2-24,WAS,PHI,Regional,0.0,22.0,71.0,2.48,2.94,93.0
858,857,Fri,2017-2-24,MEM,IND,Regional,0.0,8.0,32.0,0.63,1.09,40.0
859,858,Fri,2017-2-24,BOS,TOR,ESPN,1267.0,99.0,0.0,2.42,2.86,1366.0
860,859,Fri,2017-2-24,PHX,CHI,Regional,0.0,24.0,182.0,1.89,3.46,206.0
861,860,Fri,2017-2-24,UTA,MIL,Regional,0.0,43.4,19.0,0.92,0.9,62.4
862,861,Fri,2017-2-24,LAL,OKC,Regional,0.0,96.0,63.9,5.48,0.72,159.9
863,862,Fri,2017-2-24,DAL,MIN,Regional,0.0,35.0,66.0,2.71,1.74,101.0
864,863,Fri,2017-2-24,MIA,ATL,Regional,0.0,67.0,27.0,1.7,2.41,94.0
865,864,Fri,2017-2-24,BRK,DEN,Regional,0.0,17.0,22.0,7.35,1.63,39.0
866,865,Fri,2017-2-24,SAS,LAC,ESPN,1537.0,54.0,63.0,0.94,5.48,1654.0
867,866,Sat,2017-2-25,CHA,SAC,NBA TV,139.0,18.0,24.0,1.19,1.38,181.0
868,867,Sat,2017-2-25,ATL,ORL,Regional,0.0,17.0,22.0,2.41,1.52,39.0
869,868,Sat,2017-2-25,PHI,NYK,Regional,0.0,64.0,181.0,2.94,7.35,245.0
870,869,Sat,2017-2-25,IND,MIA,Regional,0.0,30.0,64.0,1.09,1.7,94.0
871,870,Sat,2017-2-25,NOP,DAL,Regional,0.0,7.5,50.0,0.64,2.71,57.5
872,871,Sat,2017-2-25,CHI,CLE,ABC,2437.0,0.0,0.0,3.46,1.5,2437.0
873,872,Sat,2017-2-25,MIN,HOU,Regional,0.0,32.0,85.0,1.74,2.45,117.0
874,873,Sat,2017-2-25,BRK,GSW,Regional,0.0,21.0,376.0,7.35,2.49,397.0
875,874,Sun,2017-2-26,SAS,LAL,Regional,0.0,72.0,71.0,0.94,5.48,143.0
876,875,Sun,2017-2-26,PHX,MIL,NBA TV,278.0,29.0,14.0,1.89,0.9,321.0
877,876,Sun,2017-2-26,MEM,DEN,Regional,0.0,6.777777778,22.0,0.63,1.63,28.777777778
878,877,Sun,2017-2-26,UTA,WAS,Regional,0.0,30.4,45.0,0.92,2.48,75.4
879,878,Sun,2017-2-26,POR,TOR,Regional,0.0,42.0,0.0,1.14,2.86,42.0
880,879,Sun,2017-2-26,BOS,DET,Regional,0.0,126.0,37.0,2.42,1.85,163.0
881,880,Sun,2017-2-26,NOP,OKC,NBA TV,579.0,7.5,72.36363636,0.64,0.72,658.86363636
882,881,Sun,2017-2-26,CHA,LAC,NBA TV,435.0,13.0,86.0,1.19,5.48,534.0
883,882,Mon,2017-2-27,TOR,NYK,Regional,0.0,0.0,163.0,2.86,7.35,163.0
884,883,Mon,2017-2-27,GSW,PHI,Regional,0.0,214.0,98.0,2.49,2.94,312.0
885,884,Mon,2017-2-27,MIL,CLE,TNT,1077.0,0.0,189.0,0.9,1.5,1266.0
886,885,Mon,2017-2-27,ATL,BOS,Regional,0.0,29.0,82.0,2.41,2.42,111.0
887,886,Mon,2017-2-27,IND,HOU,TNT,1204.0,0.0,0.0,1.09,2.45,1204.0
888,887,Mon,2017-2-27,MIA,DAL,Regional,0.0,0.0,0.0,1.7,2.71,0.0
889,888,Mon,2017-2-27,MIN,SAC,Regional,0.0,33.0,56.0,1.74,1.38,89.0
890,889,Tue,2017-2-28,GSW,WAS,NBA TV,565.0,235.0,99.0,2.49,2.48,899.0
891,890,Tue,2017-2-28,POR,DET,Regional,0.0,22.0,20.0,1.14,1.85,42.0
892,891,Tue,2017-2-28,DEN,CHI,Regional,0.0,18.0,58.0,1.63,3.46,76.0
893,892,Tue,2017-2-28,PHX,MEM,Regional,0.0,30.0,8.0,1.89,0.63,38.0
894,893,Tue,2017-2-28,UTA,OKC,Regional,0.0,40.2,59.6,0.92,0.72,99.80000000000001
895,894,Tue,2017-2-28,CHA,LAL,NBA TV,249.0,7.0,119.0,1.19,5.48,375.0
896,895,Wed,2017-3-1,NYK,ORL,Regional,0.0,134.0,14.0,7.35,1.52,148.0
897,896,Wed,2017-3-1,WAS,TOR,Regional,0.0,51.0,0.0,2.48,2.86,51.0
898,897,Wed,2017-3-1,DAL,ATL,Regional,0.0,27.0,32.0,2.71,2.41,59.0
899,898,Wed,2017-3-1,PHI,MIA,Regional,0.0,48.0,63.0,2.94,1.7,111.0
900,899,Wed,2017-3-1,DEN,MIL,Regional,0.0,15.0,8.0,1.63,0.9,23.0
901,900,Wed,2017-3-1,DET,NOP,Regional,0.0,33.0,5.7,1.85,0.64,38.7
902,901,Wed,2017-3-1,CLE,BOS,ESPN,2247.0,188.0,127.0,1.5,2.42,2562.0
903,902,Wed,2017-3-1,IND,SAS,Regional,0.0,40.0,82.0,1.09,0.94,122.0
904,903,Wed,2017-3-1,MIN,UTA,Regional,0.0,41.0,34.33333333,1.74,0.92,75.33333333
905,904,Wed,2017-3-1,HOU,LAC,ESPN,1556.0,29.0,32.0,2.45,5.48,1617.0
906,905,Wed,2017-3-1,BRK,SAC,Regional,0.0,11.0,49.0,7.35,1.38,60.0
907,906,Thu,2017-3-2,GSW,CHI,TNT,2698.0,0.0,0.0,2.49,3.46,2698.0
908,907,Thu,2017-3-2,CHA,PHX,Regional,0.0,9.0,30.0,1.19,1.89,39.0
909,908,Thu,2017-3-2,OKC,POR,TNT,1791.0,0.0,0.0,0.72,1.14,1791.0
910,909,Fri,2017-3-3,NYK,PHI,Regional,0.0,135.0,72.0,7.35,2.94,207.0
911,910,Fri,2017-3-3,TOR,WAS,Regional,0.0,0.0,73.0,2.86,2.48,73.0
912,911,Fri,2017-3-3,MIA,ORL,Regional,0.0,56.0,16.0,1.7,1.52,72.0
913,912,Fri,2017-3-3,LAC,MIL,Regional,0.0,33.0,20.0,5.48,0.9,53.0
914,913,Fri,2017-3-3,CLE,ATL,ESPN,1183.0,192.0,17.0,1.5,2.41,1392.0
915,914,Fri,2017-3-3,MEM,DAL,Regional,0.0,10.6,37.0,0.63,2.71,47.6
916,915,Fri,2017-3-3,BRK,UTA,Regional,0.0,11.0,43.5,7.35,0.92,54.5
917,916,Fri,2017-3-3,OKC,PHX,Regional,0.0,66.09090909,44.0,0.72,1.89,110.09090909
918,917,Fri,2017-3-3,SAS,NOP,ESPN,1814.0,78.0,0.0,0.94,0.64,1892.0
919,918,Fri,2017-3-3,BOS,LAL,Regional,0.0,57.0,123.0,2.42,5.48,180.0
920,919,Sat,2017-3-4,DET,PHI,Regional,0.0,18.0,31.0,1.85,2.94,49.0
921,920,Sat,2017-3-4,TOR,MIL,Regional,0.0,0.0,22.0,2.86,0.9,22.0
922,921,Sat,2017-3-4,CLE,MIA,Regional,0.0,167.0,86.0,1.5,1.7,253.0
923,922,Sat,2017-3-4,LAC,CHI,ABC,1673.0,0.0,0.0,5.48,3.46,1673.0
924,923,Sat,2017-3-4,CHA,DEN,Regional,0.0,7.0,30.0,1.19,1.63,37.0
925,924,Sat,2017-3-4,MEM,HOU,Regional,0.0,8.7,70.0,0.63,2.45,78.7
926,925,Sat,2017-3-4,MIN,SAS,Regional,0.0,58.0,76.0,1.74,0.94,134.0
927,926,Sat,2017-3-4,BRK,POR,Regional,0.0,4.0,71.0,7.35,1.14,75.0
928,927,Sun,2017-3-5,IND,ATL,Regional,0.0,25.0,17.0,1.09,2.41,42.0
929,928,Sun,2017-3-5,GSW,NYK,ABC,3276.0,0.0,0.0,2.49,7.35,3276.0
930,929,Sun,2017-3-5,BOS,PHX,Regional,0.0,120.0,31.0,2.42,1.89,151.0
931,930,Sun,2017-3-5,ORL,WAS,Regional,0.0,10.0,40.0,1.52,2.48,50.0
932,931,Sun,2017-3-5,UTA,SAC,NBA TV,255.0,42.0,52.0,0.92,1.38,349.0
933,932,Sun,2017-3-5,OKC,DAL,ESPN,1638.0,44.9,35.0,0.72,2.71,1717.9
934,933,Sun,2017-3-5,NOP,LAL,Regional,0.0,9.3,121.0,0.64,5.48,130.3
935,934,Mon,2017-3-6,MIL,PHI,Regional,0.0,16.0,45.0,0.9,2.94,61.0
936,935,Mon,2017-3-6,NYK,ORL,Regional,0.0,101.0,14.0,7.35,1.52,115.0
937,936,Mon,2017-3-6,MIA,CLE,Regional,0.0,93.0,170.0,1.7,1.5,263.0
938,937,Mon,2017-3-6,GSW,ATL,Regional,0.0,263.0,84.0,2.49,2.41,347.0
939,938,Mon,2017-3-6,CHI,DET,Regional,0.0,89.0,35.0,3.46,1.85,124.0
940,939,Mon,2017-3-6,BRK,MEM,Regional,0.0,7.0,10.44444444,7.35,0.63,17.444444439999998
941,940,Mon,2017-3-6,POR,MIN,Regional,0.0,0.0,0.0,1.14,1.74,0.0
942,941,Mon,2017-3-6,IND,CHA,TNT,801.0,0.0,0.0,1.09,1.19,801.0
943,942,Mon,2017-3-6,HOU,SAS,Regional,0.0,116.0,78.0,2.45,0.94,194.0
944,943,Mon,2017-3-6,SAC,DEN,Regional,0.0,15.0,18.0,1.38,1.63,33.0
945,944,Mon,2017-3-6,NOP,UTA,Regional,0.0,9.333333332999999,40.2,0.64,0.92,49.533333333
946,945,Mon,2017-3-6,BOS,LAC,TNT,992.0,33.0,49.0,2.42,5.48,1074.0
947,946,Tue,2017-3-7,POR,OKC,NBA TV,415.0,48.0,62.90909091,1.14,0.72,525.90909091
948,947,Tue,2017-3-7,LAL,DAL,Regional,0.0,79.0,90.0,5.48,2.71,169.0
949,948,Tue,2017-3-7,WAS,PHX,Regional,0.0,53.0,35.0,2.48,1.89,88.0
950,949,Wed,2017-3-8,CHI,ORL,Regional,0.0,64.0,10.0,3.46,1.52,74.0
951,950,Wed,2017-3-8,BRK,ATL,Regional,0.0,15.0,31.0,7.35,2.41,46.0
952,951,Wed,2017-3-8,CHA,MIA,Regional,0.0,10.0,80.0,1.19,1.7,90.0
953,952,Wed,2017-3-8,NYK,MIL,Regional,0.0,160.0,21.0,7.35,0.9,181.0
954,953,Wed,2017-3-8,TOR,NOP,Regional,0.0,0.0,8.8,2.86,0.64,8.8
955,954,Wed,2017-3-8,UTA,HOU,Regional,0.0,49.2,54.0,0.92,2.45,103.2
956,955,Wed,2017-3-8,LAC,MIN,Regional,0.0,37.0,33.0,5.48,1.74,70.0
957,956,Wed,2017-3-8,DET,IND,ESPN,994.0,24.0,23.0,1.85,1.09,1041.0
958,957,Wed,2017-3-8,SAC,SAS,Regional,0.0,12.0,76.0,1.38,0.94,88.0
959,958,Wed,2017-3-8,WAS,DEN,Regional,0.0,46.0,22.0,2.48,1.63,68.0
960,959,Wed,2017-3-8,BOS,GSW,ESPN,2016.0,44.0,362.0,2.42,2.49,2422.0
961,960,Thu,2017-3-9,CLE,DET,Regional,0.0,226.0,0.0,1.5,1.85,226.0
962,961,Thu,2017-3-9,LAC,MEM,Regional,0.0,53.0,13.8,5.48,0.63,66.8
963,962,Thu,2017-3-9,SAS,OKC,TNT,1641.0,0.0,0.0,0.94,0.72,1641.0
964,963,Thu,2017-3-9,PHI,POR,Regional,0.0,24.0,69.0,2.94,1.14,93.0
965,964,Thu,2017-3-9,LAL,PHX,TNT,1053.0,0.0,0.0,5.48,1.89,1053.0
966,965,Fri,2017-3-10,ORL,CHA,Regional,0.0,3.0,8.6,1.52,1.19,11.6
967,966,Fri,2017-3-10,HOU,CHI,Regional,0.0,64.0,121.0,2.45,3.46,185.0
968,967,Fri,2017-3-10,IND,MIL,Regional,0.0,30.0,19.0,1.09,0.9,49.0
969,968,Fri,2017-3-10,GSW,MIN,NBA TV,618.0,225.0,55.0,2.49,1.74,898.0
970,969,Fri,2017-3-10,TOR,ATL,Regional,0.0,0.0,29.0,2.86,2.41,29.0
971,970,Fri,2017-3-10,BOS,DEN,Regional,0.0,78.0,23.0,2.42,1.63,101.0
972,971,Fri,2017-3-10,BRK,DAL,Regional,0.0,12.0,27.0,7.35,2.71,39.0
973,972,Fri,2017-3-10,WAS,SAC,NBA TV,239.0,36.0,10.0,2.48,1.38,285.0
974,973,Sat,2017-3-11,UTA,OKC,Regional,0.0,29.72727273,51.5,0.92,0.72,81.22727273
975,974,Sat,2017-3-11,PHI,LAC,Regional,0.0,33.0,46.0,2.94,5.48,79.0
976,975,Sat,2017-3-11,NYK,DET,Regional,0.0,80.0,42.0,7.35,1.85,122.0
977,976,Sat,2017-3-11,NOP,CHA,Regional,0.0,9.222222222000001,7.0,0.64,1.19,16.222222222
978,977,Sat,2017-3-11,CLE,ORL,Regional,0.0,165.0,15.0,1.5,1.52,180.0
979,978,Sat,2017-3-11,MIN,MIL,Regional,0.0,30.0,19.0,1.74,0.9,49.0
980,979,Sat,2017-3-11,TOR,MIA,Regional,0.0,0.0,84.0,2.86,1.7,84.0
981,980,Sat,2017-3-11,GSW,SAS,ABC,2450.0,0.0,0.0,2.49,0.94,2450.0
982,981,Sat,2017-3-11,ATL,MEM,Regional,0.0,21.0,6.2,2.41,0.63,27.2
983,982,Sat,2017-3-11,PHX,DAL,Regional,0.0,36.0,53.0,1.89,2.71,89.0
984,983,Sat,2017-3-11,WAS,POR,Regional,0.0,34.0,40.0,2.48,1.14,74.0
985,984,Sat,2017-3-11,DEN,SAC,Regional,0.0,9.0,3.0,1.63,1.38,12.0
986,985,Sun,2017-3-12,CHI,BOS,ABC,1694.0,0.0,0.0,3.46,2.42,1694.0
